,r2
444,-0.0019139503054767712
445,
446,-0.0019139503054767712
447,-0.0019139503054767712
448,-0.0019139503054767712
449,-0.00024987854710822204
450,-7.435485921693566e-05
451,-0.0019139503054767712
452,-0.0019139503054767712
453,-3.140098649670941e-05
454,-7.435485921693566e-05
455,-0.0019139503054767712
456,-7.435485921693566e-05
457,-0.00024987854710822204
458,-0.0019139503054767712
459,-0.0019139503054767712
460,-7.435485921693566e-05
461,-3.140098649670941e-05
462,-7.435485921693566e-05
463,-0.0019139503054767712
464,-7.435485921693566e-05
465,-9.308945548788597e-06
466,-7.435485921693566e-05
467,-7.435485921693566e-05
468,-7.435485921693566e-05
469,-3.140098649670941e-05
470,-0.0019139503054767712
471,-7.435485921693566e-05
472,-7.435485921693566e-05
473,-9.308945548788597e-06
474,-7.435485921693566e-05
475,-7.435485921693566e-05
476,-7.435485921693566e-05
477,-3.140098649670941e-05
478,-7.435485921693566e-05
479,-0.0019139503054767712
480,-7.435485921693566e-05
481,-0.00024987854710822204
482,-0.0019139503054767712
483,-0.0019139503054767712
484,-7.435485921693566e-05
485,-3.140098649670941e-05
486,-7.435485921693566e-05
487,-0.0019139503054767712
488,-7.435485921693566e-05
489,-0.00024987854710822204
490,-7.435485921693566e-05
491,-0.0019139503054767712
492,-0.0019139503054767712
493,
494,-0.0019139503054767712
495,-0.0019139503054767712
496,-0.0019139503054767712
497,-0.00024987854710822204
498,-7.435485921693566e-05
499,-0.0019139503054767712
500,-0.0019139503054767712
501,-3.140098649670941e-05
502,-7.435485921693566e-05
503,-7.435485921693566e-05
504,-0.0019139503054767712
505,-0.00024987854710822204
506,-0.0019139503054767712
507,-7.435485921693566e-05
508,-0.0019139503054767712
509,-3.140098649670941e-05
510,-7.435485921693566e-05
511,-7.435485921693566e-05
512,-0.0019139503054767712
513,-0.00024987854710822204
514,-7.435485921693566e-05
515,-0.0019139503054767712
516,-0.0019139503054767712
517,
518,-0.0019139503054767712
519,-0.0019139503054767712
520,-0.0019139503054767712
521,-0.00024987854710822204
522,-7.435485921693566e-05
523,-0.0019139503054767712
524,-0.0019139503054767712
525,-0.0019139503054767712
526,-0.0019139503054767712
527,-7.435485921693566e-05
528,-0.00024987854710822204
529,-0.0019139503054767712
530,-0.0019139503054767712
531,-7.435485921693566e-05
532,-3.140098649670941e-05
533,-0.0019139503054767712
534,-7.435485921693566e-05
535,-0.0019139503054767712
536,-0.00024987854710822204
537,-0.0019139503054767712
538,-7.435485921693566e-05
539,-7.435485921693566e-05
540,-3.140098649670941e-05
541,-0.0019139503054767712
542,-7.435485921693566e-05
543,-7.435485921693566e-05
544,-0.00024987854710822204
545,-0.0019139503054767712
546,-0.0019139503054767712
547,-0.0019139503054767712
548,
549,-0.0019139503054767712
550,-0.0019139503054767712
551,-7.435485921693566e-05
552,-0.00024987854710822204
553,-0.0019139503054767712
554,-0.0019139503054767712
555,-7.435485921693566e-05
556,-3.140098649670941e-05
557,-7.435485921693566e-05
558,-0.0019139503054767712
559,-0.0019139503054767712
560,-0.00024987854710822204
561,-7.435485921693566e-05
562,-0.0019139503054767712
563,-7.435485921693566e-05
564,-3.140098649670941e-05
565,-7.435485921693566e-05
566,-0.0019139503054767712
567,-7.435485921693566e-05
568,-9.308945548788597e-06
569,-7.435485921693566e-05
570,-7.435485921693566e-05
